Screaming Circuits SMD component position file.

Centroid Data for pc board: "drivebay pm.brd" as of: 8/4/2011 6:23:17 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C201,Top,0.670,3.670,90
C202,Top,0.710,3.560,180
C203,Top,1.020,3.320,180
C204,Top,0.880,3.320,0
C205,Top,1.340,3.470,90
C206,Top,1.260,3.470,90
J101,Top,0.190,2.840,270
J102,Bottom,0.190,2.840,90
J103,Top,0.190,1.960,270
J104,Bottom,0.190,1.960,90
J105,Top,0.190,0.780,270
J106,Bottom,0.190,0.780,90
J201,Top,0.160,3.560,0
L201,Top,0.750,3.670,270
R201,Top,1.940,3.570,0
R202,Top,1.940,3.640,0
R301,Top,1.300,2.250,0
R303,Top,2.070,2.570,180
R304,Top,2.070,2.520,0
R305,Top,2.070,2.420,180
R306,Top,2.070,2.470,0
R307,Bottom,1.300,2.000,0
R309,Bottom,2.070,2.170,0
R310,Bottom,2.070,2.220,180
R311,Bottom,2.070,2.330,0
R312,Bottom,2.070,2.280,180
R313,Top,1.300,1.750,0
R315,Top,2.070,2.080,180
R316,Top,2.070,2.030,0
R317,Top,2.070,1.920,180
R318,Top,2.070,1.970,0
R319,Top,1.300,1.250,0
R321,Top,2.070,1.580,180
R322,Top,2.070,1.530,0
R323,Top,2.070,1.430,180
R324,Top,2.070,1.480,0
R401,Bottom,1.300,1.000,0
R403,Bottom,2.070,1.170,0
R404,Bottom,2.070,1.220,180
R405,Bottom,2.070,1.330,0
R406,Bottom,2.070,1.280,180
R407,Top,1.300,0.750,0
R409,Top,2.070,1.090,180
R410,Top,2.070,1.040,0
R411,Top,2.070,0.930,180
R412,Top,2.070,0.980,0
R413,Bottom,1.300,0.500,0
R415,Bottom,2.070,0.670,0
R416,Bottom,2.070,0.720,180
R417,Bottom,2.070,0.830,0
R418,Bottom,2.070,0.780,180
R419,Top,1.300,0.250,0
R421,Top,2.070,0.590,180
R422,Top,2.070,0.540,0
R423,Top,2.070,0.430,180
R424,Top,2.070,0.480,0
U201,Top,1.010,3.560,180
U202,Top,1.620,3.400,0
U301,Top,1.330,2.500,0
U302,Bottom,1.270,2.250,0
U303,Top,1.330,2.000,0
U304,Top,1.330,1.500,0
U401,Bottom,1.270,1.250,0
U402,Top,1.330,1.000,0
U403,Bottom,1.270,0.750,0
U404,Top,1.330,0.500,0
X201,Top,1.300,3.200,270
